claim_id,tier,outcome,turnaround_hours
CLM-000001,Green,Auto-approved,3.8
CLM-000002,Amber,Human review,65.4
CLM-000003,Amber,Human review,35.1
CLM-000004,Amber,Human review,34.3
CLM-000005,Green,Auto-approved,1.8
CLM-000006,Amber,Human review,37.1
CLM-000007,Green,Auto-approved,3.0
CLM-000008,Red,SIU referral,466.1
CLM-000009,Red,SIU referral,393.4
CLM-000010,Green,Auto-approved,3.2
CLM-000011,Green,Auto-approved,2.9
CLM-000012,Amber,Human review,48.7
CLM-000013,Amber,Human review,39.0
CLM-000014,Green,Auto-approved,2.3
CLM-000015,Amber,Human review,33.4
CLM-000016,Green,Auto-approved,1.2
CLM-000017,Green,Auto-approved,1.1
CLM-000018,Green,Auto-approved,1.1
CLM-000019,Amber,Human review,78.0
CLM-000020,Amber,Human review,92.8
CLM-000021,Amber,Human review,29.1
CLM-000022,Green,Auto-approved,2.5
CLM-000023,Green,Auto-approved,3.9
CLM-000024,Green,Auto-approved,2.4
CLM-000025,Green,Auto-approved,1.7
CLM-000026,Green,Auto-approved,2.7
CLM-000027,Red,SIU referral,479.9
CLM-000028,Amber,Human review,64.3
CLM-000029,Amber,Human review,41.0
CLM-000030,Amber,Human review,76.4
CLM-000031,Green,Auto-approved,2.0
CLM-000032,Green,Auto-approved,3.0
CLM-000033,Red,SIU referral,138.8
CLM-000034,Green,Auto-approved,1.0
CLM-000035,Green,Auto-approved,1.2
CLM-000036,Red,SIU referral,418.3
CLM-000037,Red,SIU referral,395.7
CLM-000038,Green,Auto-approved,2.3
CLM-000039,Green,Auto-approved,0.6
CLM-000040,Green,Auto-approved,0.7
CLM-000041,Amber,Human review,41.7
CLM-000042,Green,Auto-approved,1.5
CLM-000043,Green,Auto-approved,1.4
CLM-000044,Amber,Human review,70.6
CLM-000045,Green,Auto-approved,3.7
CLM-000046,Red,SIU referral,130.8
CLM-000047,Green,Auto-approved,3.5
CLM-000048,Red,SIU referral,273.2
CLM-000049,Amber,Human review,39.6
CLM-000050,Amber,Human review,75.2
CLM-000051,Green,Auto-approved,1.1
CLM-000052,Amber,Human review,66.2
CLM-000053,Amber,Human review,55.1
CLM-000054,Green,Auto-approved,2.0
CLM-000055,Amber,Human review,32.0
CLM-000056,Green,Auto-approved,3.4
CLM-000057,Red,SIU referral,206.0
CLM-000058,Green,Auto-approved,3.7
CLM-000059,Green,Auto-approved,0.8
CLM-000060,Amber,Human review,45.6
CLM-000061,Green,Auto-approved,2.6
CLM-000062,Green,Auto-approved,1.2
CLM-000063,Green,Auto-approved,1.7
CLM-000064,Amber,Human review,54.2
CLM-000065,Red,SIU referral,476.4
CLM-000066,Amber,Human review,44.0
CLM-000067,Green,Auto-approved,3.2
CLM-000068,Red,SIU referral,275.5
CLM-000069,Amber,Human review,82.6
CLM-000070,Amber,Human review,36.3
CLM-000071,Amber,Human review,49.2
CLM-000072,Amber,Human review,52.0
CLM-000073,Amber,Human review,67.3
CLM-000074,Red,SIU referral,410.1
CLM-000075,Amber,Human review,27.6
CLM-000076,Amber,Human review,34.1
CLM-000077,Green,Auto-approved,3.8
CLM-000078,Green,Auto-approved,2.2
CLM-000079,Amber,Human review,61.6
CLM-000080,Amber,Human review,51.1
CLM-000081,Green,Auto-approved,3.1
CLM-000082,Amber,Human review,60.1
CLM-000083,Green,Auto-approved,3.8
CLM-000084,Green,Auto-approved,1.5
CLM-000085,Green,Auto-approved,3.2
CLM-000086,Green,Auto-approved,0.7
CLM-000087,Green,Auto-approved,1.1
CLM-000088,Green,Auto-approved,3.1
CLM-000089,Green,Auto-approved,3.5
CLM-000090,Green,Auto-approved,2.7
CLM-000091,Amber,Human review,53.3
CLM-000092,Green,Auto-approved,1.0
CLM-000093,Green,Auto-approved,3.3
CLM-000094,Amber,Human review,88.1
CLM-000095,Green,Auto-approved,3.5
CLM-000096,Amber,Human review,59.8
CLM-000097,Green,Auto-approved,1.3
CLM-000098,Amber,Human review,28.1
CLM-000099,Green,Auto-approved,0.8
CLM-000100,Green,Auto-approved,1.0
CLM-000101,Green,Auto-approved,3.4
CLM-000102,Green,Auto-approved,0.6
CLM-000103,Green,Auto-approved,0.6
CLM-000104,Amber,Human review,40.6
CLM-000105,Green,Auto-approved,2.5
CLM-000106,Amber,Human review,34.9
CLM-000107,Amber,Human review,94.9
CLM-000108,Green,Auto-approved,1.5
CLM-000109,Amber,Human review,84.2
CLM-000110,Green,Auto-approved,1.5
CLM-000111,Amber,Human review,45.6
CLM-000112,Green,Auto-approved,3.9
CLM-000113,Amber,Human review,34.9
CLM-000114,Amber,Human review,47.1
CLM-000115,Green,Auto-approved,2.4
CLM-000116,Amber,Human review,58.1
CLM-000117,Green,Auto-approved,2.6
CLM-000118,Amber,Human review,30.0
CLM-000119,Red,SIU referral,366.6
CLM-000120,Green,Auto-approved,3.6
CLM-000121,Amber,Human review,50.9
CLM-000122,Amber,Human review,41.3
CLM-000123,Amber,Human review,77.5
CLM-000124,Green,Auto-approved,2.0
CLM-000125,Amber,Human review,35.7
CLM-000126,Green,Auto-approved,1.0
CLM-000127,Green,Auto-approved,2.6
CLM-000128,Green,Auto-approved,2.1
CLM-000129,Green,Auto-approved,1.0
CLM-000130,Green,Auto-approved,1.6
CLM-000131,Green,Auto-approved,2.9
CLM-000132,Amber,Human review,93.4
CLM-000133,Amber,Human review,50.7
CLM-000134,Green,Auto-approved,3.0
CLM-000135,Amber,Human review,69.6
CLM-000136,Green,Auto-approved,2.8
CLM-000137,Amber,Human review,40.6
CLM-000138,Amber,Human review,90.9
CLM-000139,Amber,Human review,29.6
CLM-000140,Green,Auto-approved,2.1
CLM-000141,Amber,Human review,88.4
CLM-000142,Amber,Human review,87.0
CLM-000143,Amber,Human review,88.5
CLM-000144,Amber,Human review,33.6
CLM-000145,Amber,Human review,48.2
CLM-000146,Amber,Human review,32.6
CLM-000147,Green,Auto-approved,1.6
