policy_id,client_id,market,product_type,channel,brand,advisor_id,inception_date,sum_assured,premium,status
POL-000001,CLI-000579,South Africa,Health,Independent Broker,Momentum,ADV-148,2023-06-26,15000,69.45,Active
POL-000002,CLI-005015,South Africa,Funeral,Tied Advisor,Metropolitan,ADV-129,2024-02-01,50000,222.94,Active
POL-000003,CLI-004241,Lesotho,Life,Tied Advisor,Momentum,ADV-035,2022-02-05,30000,147.75,Active
POL-000004,CLI-002844,South Africa,Funeral,Bancassurance,Metropolitan,ADV-028,2025-08-25,50000,250.59,Lapsed
POL-000005,CLI-002806,South Africa,Funeral,Tied Advisor,Metropolitan,ADV-055,2024-08-15,30000,164.75,Active
POL-000006,CLI-005563,South Africa,Life,Bancassurance,Momentum,ADV-074,2024-01-10,100000,457.73,Active
POL-000007,CLI-000557,South Africa,Funeral,Independent Broker,Metropolitan,ADV-048,2024-07-11,15000,75.76,Active
POL-000008,CLI-004519,South Africa,Health,Bancassurance,Momentum,ADV-015,2024-05-26,15000,69.0,Active
POL-000009,CLI-001306,Botswana,Funeral,Bancassurance,Metropolitan,ADV-080,2023-08-21,15000,61.23,Active
POL-000010,CLI-000611,South Africa,Health,Bancassurance,Momentum,ADV-066,2022-05-16,100000,477.62,Active
POL-000011,CLI-003412,Lesotho,Funeral,Independent Broker,Metropolitan,ADV-049,2023-11-14,50000,243.01,Active
POL-000012,CLI-006322,South Africa,Funeral,Direct Digital,Metropolitan,ADV-133,2025-07-04,15000,69.53,Active
POL-000013,CLI-004767,Namibia,Health,Independent Broker,Momentum,ADV-047,2021-09-25,15000,68.29,Active
POL-000014,CLI-004932,South Africa,Life,Bancassurance,Momentum,ADV-143,2023-06-24,15000,74.33,Active
POL-000015,CLI-004649,South Africa,Funeral,Independent Broker,Metropolitan,ADV-002,2025-07-27,50000,219.3,Active
POL-000016,CLI-005093,South Africa,Health,Tied Advisor,Momentum,ADV-084,2024-05-13,30000,164.55,Active
POL-000017,CLI-003326,South Africa,Funeral,Independent Broker,Metropolitan,ADV-153,2021-08-04,50000,228.43,Active
POL-000018,CLI-000831,South Africa,Funeral,Independent Broker,Metropolitan,ADV-046,2025-09-11,50000,215.59,Active
POL-000019,CLI-005441,Botswana,Funeral,Tied Advisor,Metropolitan,ADV-105,2021-09-25,100000,460.19,Active
POL-000020,CLI-002919,South Africa,Life,Tied Advisor,Momentum,ADV-118,2023-11-12,30000,116.16,Lapsed
POL-000021,CLI-003242,South Africa,Life,Tied Advisor,Momentum,ADV-055,2022-01-14,100000,519.74,Active
POL-000022,CLI-002403,South Africa,Health,Direct Digital,Momentum,ADV-103,2022-11-03,30000,138.73,Active
POL-000023,CLI-001183,Botswana,Life,Independent Broker,Momentum,ADV-105,2023-06-08,50000,245.89,Active
POL-000024,CLI-006005,Namibia,Funeral,Tied Advisor,Metropolitan,ADV-076,2022-10-17,50000,198.21,Active
POL-000025,CLI-005064,Botswana,Funeral,Bancassurance,Metropolitan,ADV-061,2025-11-04,250000,1286.22,Lapsed
POL-000026,CLI-004172,Lesotho,Funeral,Independent Broker,Metropolitan,ADV-077,2024-04-19,30000,135.31,Active
POL-000027,CLI-002608,Botswana,Health,Bancassurance,Momentum,ADV-024,2023-04-10,50000,233.7,Active
POL-000028,CLI-005331,Botswana,Funeral,Independent Broker,Metropolitan,ADV-079,2022-12-03,50000,197.33,Active
POL-000029,CLI-003534,South Africa,Life,Tied Advisor,Momentum,ADV-053,2023-12-15,500000,2226.1,Active
POL-000030,CLI-002873,Lesotho,Life,Tied Advisor,Momentum,ADV-055,2023-02-28,15000,69.04,Active
POL-000031,CLI-002919,Botswana,Health,Bancassurance,Momentum,ADV-040,2025-07-01,50000,220.34,Active
